Peso_kg,Edad_meses,Raza,Consumo_Concentrado_kg,Produccion_Leche_LitrosDia
350,24,Gyr,2.0,9.0
420,26,Girolando,2.5,10.35
390,25,Gyr,2.2,9.6
410,28,Girolando,2.8,10.9
380,27,Gyr,3.0,11.15
450,30,Girolando,3.2,11.9
470,32,Gyr,3.5,12.6
490,33,Girolando,3.8,13.3
500,34,Gyr,4.0,13.75
520,36,Girolando,4.2,14.25
360,22,Gyr,2.0,9.05
400,24,Girolando,2.3,9.85
415,25,Gyr,2.6,10.52
440,27,Girolando,2.9,11.25
460,29,Gyr,3.1,11.75
480,31,Girolando,3.3,12.25
495,32,Gyr,3.6,12.92
505,33,Girolando,3.9,13.58
515,34,Gyr,4.1,14.02
530,35,Girolando,4.3,14.5
370,23,Gyr,2.1,9.3
390,24,Girolando,2.4,10.0
410,26,Gyr,2.7,10.7
430,27,Girolando,3.0,11.4
450,28,Gyr,3.3,12.1
470,29,Girolando,3.6,12.8
490,31,Gyr,3.9,13.5
510,32,Girolando,4.2,14.2
530,33,Gyr,4.4,14.7
550,35,Girolando,4.6,15.2
360,21,Gyr,1.9,8.85
375,22,Girolando,2.2,9.53
395,24,Gyr,2.4,10.03
420,25,Girolando,2.7,10.75
440,27,Gyr,3.0,11.45
460,29,Girolando,3.3,12.15
480,30,Gyr,3.5,12.65
500,31,Girolando,3.8,13.35
520,32,Gyr,4.1,14.05
540,33,Girolando,4.4,14.75
370,22,Gyr,2.0,9.1
385,23,Girolando,2.3,9.78
405,25,Gyr,2.5,10.28
425,26,Girolando,2.8,10.97
445,27,Gyr,3.1,11.67
465,29,Girolando,3.4,12.38
485,30,Gyr,3.7,13.08
505,32,Girolando,4.0,13.78
525,33,Gyr,4.3,14.47
545,34,Girolando,4.5,14.97
355,20,Gyr,1.8,8.62
380,22,Girolando,2.1,9.35
400,23,Gyr,2.4,10.05
420,25,Girolando,2.6,10.55
440,27,Gyr,2.9,11.25
460,28,Girolando,3.2,11.95
480,30,Gyr,3.5,12.65
500,32,Girolando,3.8,13.35
520,33,Gyr,4.1,14.05
540,35,Girolando,4.4,14.75
